018-04-26 16:08:16,E1
018-04-26 16:08:30,E32
018-04-26 16:08:30,E29
018-04-26 16:08:30,E30
018-04-26 16:08:30,E27
018-04-26 16:08:30,E25
018-04-26 16:08:30,E39
018-04-26 16:08:30,E40
018-04-26 16:08:30,E41
018-04-26 16:08:30,E42
018-04-26 16:08:30,E25
018-04-26 16:08:30,E43
018-04-26 16:08:30,E24
018-04-26 16:08:31,E28
018-04-26 16:08:31,E31
018-04-26 16:08:31,E44
018-04-26 16:08:31,E29
018-04-26 16:08:31,E30
018-04-26 16:08:31,E27
018-04-26 16:08:32,E28
018-04-26 16:08:32,E45
018-04-26 16:08:32,E46
018-04-26 16:08:32,E29
018-04-26 16:08:32,E30
018-04-26 16:08:45,E0
018-04-26 16:08:45,E47
018-04-26 16:08:45,E48
018-04-26 16:08:50,E0
018-04-26 16:08:50,E47
018-04-26 16:08:50,E48
018-04-26 16:08:52,E0
018-04-26 16:08:52,E47
018-04-26 16:08:52,E48
018-04-26 16:08:55,E0
018-04-26 16:08:55,E47
018-04-26 16:08:55,E48
018-04-26 16:09:05,E0
018-04-26 16:09:08,E0
018-04-26 16:09:09,E0
018-04-26 16:09:09,E49
018-04-26 16:09:11,E0
018-04-26 16:09:12,E49
018-04-26 16:09:12,E49
018-04-26 16:09:12,E49
018-04-26 16:09:12,E50
018-04-26 16:09:12,E25
018-04-26 16:09:13,E51
018-04-26 16:09:13,E24
018-04-26 16:09:13,E52
018-04-26 16:09:13,E53
018-04-26 16:09:13,E54
018-04-26 16:09:13,E55
018-04-26 16:09:13,E25
018-04-26 16:09:13,E27
018-04-26 16:09:13,E28
018-04-26 16:09:13,E29
018-04-26 16:09:13,E56
018-04-26 16:09:13,E57
018-04-26 16:09:13,E58
018-04-26 16:09:13,E27
018-04-26 16:09:14,E49
018-04-26 16:09:14,E28
018-04-26 16:09:14,E45
018-04-26 16:09:14,E59
018-04-26 16:09:14,E25
018-04-26 16:09:14,E31
018-04-26 16:09:14,E38
018-04-26 16:09:14,E25
018-04-26 16:09:14,E32
018-04-26 16:09:14,E27
018-04-26 16:09:14,E39
018-04-26 16:09:14,E50
018-04-26 16:09:14,E25
018-04-26 16:09:14,E39
018-04-26 16:09:14,E40
018-04-26 16:09:14,E51
018-04-26 16:09:14,E60
018-04-26 16:09:14,E24
018-04-26 16:09:14,E52
018-04-26 16:09:14,E25
018-04-26 16:09:14,E39
018-04-26 16:09:14,E41
018-04-26 16:09:14,E61
018-04-26 16:09:14,E25
018-04-26 16:09:14,E23
018-04-26 16:09:14,E62
018-04-26 16:09:14,E42
018-04-26 16:09:14,E25
018-04-26 16:09:15,E49
018-04-26 16:09:15,E27
018-04-26 16:09:15,E28
018-04-26 16:09:15,E45
018-04-26 16:09:15,E59
018-04-26 16:09:15,E45
018-04-26 16:09:15,E59
018-04-26 16:09:15,E25
018-04-26 16:09:15,E31
018-04-26 16:09:15,E63
018-04-26 16:09:15,E32
018-04-26 16:09:15,E27
018-04-26 16:09:15,E39
018-04-26 16:09:15,E38
018-04-26 16:09:15,E25
018-04-26 16:09:15,E39
018-04-26 16:09:15,E40
018-04-26 16:09:15,E41
018-04-26 16:09:15,E42
018-04-26 16:09:15,E25
018-04-26 16:09:15,E43
018-04-26 16:09:15,E24
018-04-26 16:09:16,E49
018-04-26 16:09:16,E28
018-04-26 16:09:17,E49
018-04-26 16:09:19,E49
018-04-26 16:09:21,E49
018-04-26 16:09:25,E49
018-04-26 16:09:27,E49
018-04-26 16:09:28,E49
018-04-26 16:09:28,E50
018-04-26 16:09:28,E25
018-04-26 16:09:28,E51
018-04-26 16:09:28,E24
018-04-26 16:09:28,E52
018-04-26 16:09:28,E27
018-04-26 16:09:29,E49
018-04-26 16:09:29,E50
018-04-26 16:09:29,E25
018-04-26 16:09:29,E51
018-04-26 16:09:29,E24
018-04-26 16:09:29,E52
018-04-26 16:09:29,E27
018-04-26 16:09:29,E45
018-04-26 16:09:29,E59
018-04-26 16:09:29,E25
018-04-26 16:09:29,E27
018-04-26 16:09:29,E39
018-04-26 16:09:29,E0
018-04-26 16:09:29,E47
018-04-26 16:09:29,E48
018-04-26 16:09:30,E45
018-04-26 16:09:30,E59
018-04-26 16:09:30,E27
018-04-26 16:09:30,E25
018-04-26 16:09:30,E39
018-04-26 16:09:33,E64
018-04-26 16:09:34,E49
018-04-26 16:09:36,E49
018-04-26 16:09:40,E65
018-04-26 16:09:40,E25
018-04-26 16:09:40,E66
018-04-26 16:09:40,E67
018-04-26 16:09:40,E68
018-04-26 16:09:40,E49
018-04-26 16:09:40,E50
018-04-26 16:09:41,E25
018-04-26 16:09:41,E51
018-04-26 16:09:41,E24
018-04-26 16:09:41,E52
018-04-26 16:09:41,E13
018-04-26 16:09:41,E23
018-04-26 16:09:41,E69
018-04-26 16:09:41,E13
018-04-26 16:09:41,E3
018-04-26 16:09:41,E70
018-04-26 16:09:41,E20
018-04-26 16:09:41,E71
018-04-26 16:09:41,E72
018-04-26 16:09:41,E73
018-04-26 16:09:41,E74
018-04-26 16:09:41,E75
018-04-26 16:09:41,E76
018-04-26 16:09:41,E75
018-04-26 16:09:41,E76
018-04-26 16:09:41,E77
018-04-26 16:09:41,E77
018-04-26 16:09:41,E77
018-04-26 16:09:41,E78
018-04-26 16:09:41,E61
018-04-26 16:09:41,E25
018-04-26 16:09:41,E20
018-04-26 16:09:41,E20
018-04-26 16:09:41,E20
018-04-26 16:09:42,E27
018-04-26 16:09:42,E79
018-04-26 16:09:42,E0
018-04-26 16:09:42,E0
018-04-26 16:09:42,E0
018-04-26 16:09:42,E80
018-04-26 16:09:42,E0
018-04-26 16:09:47,E0
018-04-26 16:09:47,E0
018-04-26 16:09:47,E0
018-04-26 16:09:47,E0
