TestJobResourceUploaderWithSharedCache.java;;;IO exception in closing file system
TaskAttemptImpl.java;;;Job jar is not present. ~~Not adding any jar to the list of resources.
TaskAttemptImpl.java;;;Unable to recover task attempt
TaskAttemptImpl.java;;;TaskAttempt: [~~] using containerId: [~~ on NM: [~~]
TaskAttemptImpl.java;;;The job-jar file on the remote FS is
TaskAttemptImpl.java;;;Processing ~~ of type
TaskAttemptImpl.java;;;Not generating HistoryFinish event since start event not ~~generated for taskAttempt:
TestMRJobClient.java;;;waiting for jobId...
TestMRJobClient.java;;;args =
TestMRJobClient.java;;;line =
CreateOp.java;;;Attempting to create file at ~~ of size ~~ using blocksize ~~ and replication amount
CreateOp.java;;;Created file at ~~ of size ~~ bytes using blocksize ~~ and replication amount ~~ in ~~ milliseconds
CreateOp.java;;;Error closing create stream
CreateOp.java;;;Error with creating
ReliabilityTest.java;;;  
ReliabilityTest.java;;;JobID : ~~ not started RUNNING yet
ReliabilityTest.java;;;Will STOP/RESUME tasktrackers based on Maps'~~ progress
ReliabilityTest.java;;;This must be run in only the distributed mode ~~(LocalJobRunner not supported).\n\tUsage: MRReliabilityTest ~~-libjars <path to hadoop-examples.jar> [-scratchdir <dir>]~~\n[-scratchdir] points to a scratch space on this host where temp~~ files for this test will be created. Defaults to current working~~ dir. \nPasswordless SSH must be set up between this host and the~~ nodes which the test is going to use.\n~~The test should be run on a free cluster with no parallel job submission~~ going on, as the test requires to restart TaskTrackers and kill tasks~~ any job submission while the tests are running can cause jobs/tests to fail
ReliabilityTest.java;;;The last job returned by the querying JobTracker is complete :~~ .Exiting the test
ReliabilityTest.java;;;Killing a few tasks
ReliabilityTest.java;;;job failed with status:
ReliabilityTest.java;;;DONE WITH THE TESTS TO DO WITH LOST TASKTRACKERS
ReliabilityTest.java;;;Will kill tasks based on Maps' progress
ReliabilityTest.java;;;Sort job done
ReliabilityTest.java;;; done. 
ReliabilityTest.java;;;Stopping a few trackers
ReliabilityTest.java;;;JOB ~~ failed to run
ReliabilityTest.java;;;Initial progress threshold: ~~. Threshold Multiplier: ~~. Number of iterations:
ReliabilityTest.java;;;Killed task : Job Test~~JOB ~~ failed to run~~
ReliabilityTest.java;;;SleepJob done
ReliabilityTest.java;;;Will STOP/RESUME tasktrackers based on ~~Reduces' progress
ReliabilityTest.java;;;Will kill tasks based on Reduces' progress
ReliabilityTest.java;;;SortValidator job done
ReliabilityTest.java;;;Resuming the stopped trackers
ReliabilityTest.java;;;DONE WITH THE TASK KILL/FAIL TESTS
ReliabilityTest.java;;;RandomWriter job done
ReliabilityTest.java;;;Waiting for the job ~~ to start
ReliabilityTest.java;;;Marking tracker on host:
IFileInputStream.java;;;Unable to determine FileDescriptor
TestJHSSecurity.java;;;Cancelled delegation token at:
TestJHSSecurity.java;;;Renewed token at: ~~, NextExpiryTime:
TestJHSSecurity.java;;;Got delegation token at:
TestJHSSecurity.java;;;At time: ~~, token should be invalid
TestHistoryViewerPrinter.java;;;out = UTF-8~~
OracleDBRecordReader.java;;;Time zone GMT~~~~ could not be set on Oracle database.
OracleDBRecordReader.java;;;Could not find method setSessionTimeZone in
OracleDBRecordReader.java;;;Could not set time zone for oracle connection
OracleDBRecordReader.java;;;Time zone has been set to GMT~~
OracleDBRecordReader.java;;;Setting default time zone: GMT
ClientCache.java;;;Could not connect to History server.
ClientCache.java;;;Connected to HistoryServer at:
ClientCache.java;;;Connecting to HistoryServer at:
TestJobHistoryParsing.java;;;STARTING testHistoryParsing()
TestJobHistoryParsing.java;;;FINISHED testDiagnosticsForKilledJob
TestJobHistoryParsing.java;;;Can not open history file:
TestJobHistoryParsing.java;;;FINISHED testHistoryParsing()
TestJobHistoryParsing.java;;;FINISHED testDeleteFileInfo
TestJobHistoryParsing.java;;;STARTING testJobHistoryMethods
TestJobHistoryParsing.java;;;STARTING testDeleteFileInfo
TestJobHistoryParsing.java;;;FINISHED testHistoryParsingForFailedAttempts
TestJobHistoryParsing.java;;;FINISHED testCountersForFailedTask
TestJobHistoryParsing.java;;;STARTING testDiagnosticsForKilledJob
TestJobHistoryParsing.java;;;JobHistoryFile is:
TestJobHistoryParsing.java;;;job info: ~~ ~~ ~~
TestJobHistoryParsing.java;;;STARTING testHistoryParsingForFailedAttempts
TestJobHistoryParsing.java;;;STARTING testScanningOldDirs
TestJobHistoryParsing.java;;;FINISHED testHistoryParsingWithParseErrors()
TestJobHistoryParsing.java;;;JOBID is
TestJobHistoryParsing.java;;;FINISHED testScanningOldDirs
TestJobHistoryParsing.java;;;Can not get FileContext
TestJobHistoryParsing.java;;;STARTING testCountersForFailedTask
TestJobHistoryParsing.java;;;FINISHED testJobHistoryMethods
TestJobHistoryParsing.java;;;STARTING testHistoryParsingWithParseErrors()
LocalResourceBuilder.java;;;conflicts with ~~ This will be an error in Hadoop 2.0
DBOutputFormat.java;;;  
DeprecatedQueueConfigurationParser.java;;;Configuring queue ACLs in mapred-site.xml or ~~hadoop-site.xml is deprecated. Configure queue ACLs in
DeprecatedQueueConfigurationParser.java;;;Not able to initialize queue
DeprecatedQueueConfigurationParser.java;;;Configuring \"~~\" in mapred-site.xml or ~~hadoop-site.xml is deprecated and will overshadow ~~. Remove this property and configure ~~queue hierarchy in
ProcessTree.java;;;Signaling process ~~ with ~~. Exit code
ProcessTree.java;;;Error executing shell command
ProcessTree.java;;;Thread sleep is interrupted.
ProcessTree.java;;;setsid is not available on this machine. So not using it.
ProcessTree.java;;;setsid exited with exit code
ProcessTree.java;;;Sending signal to all members of process group ~~: ~~. Exit code
DistributedFSCheck.java;;;Exec time =
DistributedFSCheck.java;;;bufferSize =
DistributedFSCheck.java;;;  
DistributedFSCheck.java;;;Cleaning up test files
DistributedFSCheck.java;;;Number of bytes processed =
DistributedFSCheck.java;;;root = /~~
DistributedFSCheck.java;;;Corrupted block detected in \"~~\" at
DistributedFSCheck.java;;;IO rate =
DistributedFSCheck.java;;;Created map input files.
ReadOp.java;;;Error closing read stream
ReadOp.java;;;Error reading
ReadOp.java;;;Read ~~ of ~~ with ~~ chunks being same as expected and ~~ chunks being different than expected in ~~ milliseconds
ReadOp.java;;;Attempting to read file at ~~ of size (full file~~~~)
ReadOp.java;;;Error with reading
ReadOp.java;;;Error reading bad file
BigMapOutput.java;;;Created part-0~~~~ of size: ~~MB in ~~secs
BigMapOutput.java;;;Writing ~~ bytes to part-0~~~~ with ~~minKeySize: ~~ keySizeRange: ~~ minValueSize: ~~ valueSizeRange:
ThreadedMapBenchmark.java;;;Number of hosts :
ThreadedMapBenchmark.java;;;Data per map: ~~ mb
ThreadedMapBenchmark.java;;;Number of maps per host :
ThreadedMapBenchmark.java;;;Number of spills :
ThreadedMapBenchmark.java;;;Generating random input for the benchmark
ThreadedMapBenchmark.java;;;Starting the benchmark for threaded spills
ThreadedMapBenchmark.java;;;Total data : ~~ mb
ThreadedMapBenchmark.java;;;Running sort with ~~ spills per map
ThreadedMapBenchmark.java;;;Running sort with 1 spill per map
ThreadedMapBenchmark.java;;;Total time taken : ~~ millisec
TestUmbilicalProtocolWithJobToken.java;;;Service address for token is
JHLogAnalyzer.java;;;jobTotalTime =
JHLogAnalyzer.java;;;Start time 0 for task attempt
JHLogAnalyzer.java;;;Incorrect TASKID: =\"*|\"~~=\"*|\"~~~~ expect
JHLogAnalyzer.java;;; Opened 
JHLogAnalyzer.java;;;JOBID = NULL in ~~ at
JHLogAnalyzer.java;;;Finished parsing job: ~~ line count =
JHLogAnalyzer.java;;;Incorrect JOBID: =\"*|\"~~=\"*|\"~~~~ expect
JHLogAnalyzer.java;;;numAttempts =
JHLogAnalyzer.java;;;Cleaning up test files
JHLogAnalyzer.java;;;Finish time ~~ is less than ~~Start time ~~ for task attempt
JHLogAnalyzer.java;;;creating control file: JH log dir =
JHLogAnalyzer.java;;;Finished ~~ threads out of
JHLogAnalyzer.java;;;Start JHLA test ============
JHLogAnalyzer.java;;;Finished Maps = ~~  Reduces =
JHLogAnalyzer.java;;;Incorrect TASK_TYPE: ~~ expect ~~ for task
JHLogAnalyzer.java;;;created control file: JH log dir =
JHLogAnalyzer.java;;;Analyzing results ...
JHLogAnalyzer.java;;;Reader created
JHLogAnalyzer.java;;;Processing ~~ at ~~ # tasks = ~~
JHLogAnalyzer.java;;;totalTime   =
JHLogAnalyzer.java;;;~~ ==
JHLogAnalyzer.java;;;Collected stats for job:
JHLogAnalyzer.java;;;Unexpected TASK_ATTEMPT_ID = null for task
JHLogAnalyzer.java;;;Analyzing results ... done.
JHLogAnalyzer.java;;;Unexpected TASK_TYPE = ~~ for attempt
JHLogAnalyzer.java;;;Total    Maps = ~~  Reduces =
JHLogAnalyzer.java;;;FileCreateDaemon failed.
